29.937-3.335e-14i,18.872+7.1471e-14i,33.724+1.0755e-14i,31.408-2.2204e-14i,15.481+2.6021e-14i,23.662-5.4123e-14i,21.077-8.6042e-14i,23.408-7.7369e-14i,17.754+1.197e-14i,0.52828,0.10454,7.4022
-5.2914+0.10209i,-2.177-4.0241i,0.63012+2.4875i,-1.6133-8.4711i,1.3498-2.2844i,-1.667+2.9366i,3.167-4.6244i,0.71243+1.9694i,2.2602-1.1827i,0.57392,0.042964,2.8969
0.37645+3.751i,0.67654-3.2503i,-0.067935-3.5078i,-2.361-0.42297i,-0.76011+0.54163i,-0.066256-1.0527i,-0.33123-2.6879i,1.391+2.2713i,0.13556+0.85361i,0.55798,0.065687,3.4663
2.534+1.3738i,-1.6301+0.14876i,0.23028-4.0372i,-0.34778+2.6681i,-0.58222+0.56099i,0.2851-3.2178i,-1.5901-1.2303i,2.0847+1.7115i,0.70798-0.00044559i,0.60802,0.063801,3.6246
0.80535-0.18033i,-1.0272-0.159i,-0.43473-4.8274i,-1.1315-0.026917i,-0.91783+0.91698i,1.0446-0.14858i,0.40887+0.095602i,1.0288+1.7672i,0.25992-0.012868i,0.3255,0.07031,2.2446
-0.89696+0.64568i,0.12465+0.73403i,-1.5092-2.0022i,-0.060436-0.71993i,-0.307+1.0168i,-0.58263-0.56052i,0.86064+0.59809i,-0.64488+0.87179i,-0.78946+0.85083i,0.42855,0.047001,2.8954
0.73581+0.019296i,0.41157+0.48508i,-2.1135-0.88427i,-1.1557+0.31225i,1.2062+0.4901i,-0.62908-0.24506i,0.065398-0.31498i,-0.98579+1.2392i,0.0109-0.11924i,0.48144,0.063505,3.3913
0.58025-0.019415i,-0.2445+0.19045i,-1.1138+0.55426i,-0.24849-0.69328i,0.1284+0.16094i,-0.48235-0.69302i,-0.20262-0.82609i,-0.44095+0.13971i,-0.49265+0.20237i,0.55452,0.053209,3.0174
-0.17861+0.07205i,0.49907+0.92875i,0.39597+0.4882i,0.30252+0.20004i,-0.055945+0.22278i,-0.36769-0.3837i,-0.71263-0.76262i,-0.096184+0.57978i,-0.61013+0.6578i,0.47178,0.082913,2.7931
-0.29227+0.34772i,0.51534+0.054526i,0.77512+0.4414i,-0.067542+0.48511i,-0.07523-0.29799i,0.07175-0.68438i,-0.09331-0.69289i,0.51973+0.50075i,-0.032795-0.032432i,0.70599,0.058125,3.7824
-0.18092-0.36585i,-0.25192+0.13301i,0.76099-0.98802i,0.49537-0.44625i,-0.071994+0.18492i,-0.23154+0.13434i,-0.087563-0.64617i,0.11971+0.27131i,-0.31391-0.39442i,0.47246,0.040096,4.1193
0.14693+0.12603i,0.11081+0.18542i,0.7005-1.1738i,-0.37868-0.1643i,0.275-0.13833i,-0.067779-0.43452i,-0.042599-0.53769i,0.62162-0.094784i,-0.1907-0.045193i,0.421,0.050758,3.7855
-0.25834+0.076138i,0.2828-0.03849i,0.20816-1.7436i,0.078071-0.079824i,0.11226+0.035972i,-0.21417-0.32831i,-0.32109-0.53003i,-0.076634+0.2421i,0.00038393-0.038728i,0.31072,0.063778,3.5398
0.36927+0.07037i,0.06306-0.093501i,-0.67553-1.4963i,0.14398+0.011047i,-0.046573+0.094396i,0.0031338-0.26936i,-0.22649-0.46103i,0.27925+0.5438i,0.002305-0.1129i,0.29424,0.082879,2.4334
0.10003+0.42032i,0.16515+0.41195i,-0.92461-1.1041i,-0.10864+0.4036i,0.32406+0.38846i,0.039269+0.027959i,-0.31229-0.43434i,0.13829+0.36002i,-0.2304-0.13382i,0.35124,0.060509,2.5063
0.1677+0.038398i,0.33631+0.21913i,-0.85979-0.26196i,0.19371-0.06935i,0.24617-0.14378i,0.090854-0.077831i,-0.17203-0.18516i,0.28011+0.37753i,-0.041287-0.081774i,0.33806,0.072487,2.0988
0.015284+0.038909i,0.0006139+0.051197i,-0.57326+0.11802i,0.097993+0.091367i,-0.14969+0.028654i,-0.35559-0.093036i,-0.094026-0.20707i,-0.046985+0.1846i,0.055032-0.025727i,0.4358,0.059141,3.3631
0.0067737+0.14896i,0.20287+0.34943i,-0.09932+0.15296i,0.097627-0.16192i,0.11742+0.0754i,0.062736-0.13248i,-0.054912-0.18013i,0.033704+0.22155i,0.0090869-0.034267i,0.52582,0.053316,3.1566
0.040674+0.0047529i,0.11919-0.091796i,0.29015-0.13983i,0.16188-0.010214i,0.12833+0.071844i,-0.14673-0.30191i,-0.002486-0.19905i,0.11438+0.24001i,0.15716-0.097975i,0.46489,0.084732,2.666
0.14794+0.11008i,0.085816-0.054301i,0.31904-0.37617i,-0.057793-0.13402i,-0.013839-0.0042074i,-0.032301-0.18189i,-0.22453-0.21323i,0.11794+0.093051i,0.024909+0.029156i,0.44024,0.068943,3.7325
-0.073516+0.027963i,0.011584+0.14233i,0.25874-0.58754i,-0.091401-0.16119i,0.040923+0.223i,-0.23114-0.25841i,-0.23938-0.24304i,0.075489+0.17474i,-0.11055-0.079625i,0.42045,0.062596,4.4178
0.14075+0.060135i,0.19956-0.077311i,-0.079829-0.80288i,0.13956-0.02069i,0.26985+0.082669i,-0.091402+0.0039071i,-0.15589-0.23766i,0.26262+0.037913i,0.059075-0.076311i,0.33854,0.065087,2.8937
