38.304-1.2698e-13i,34.236-1.6306e-14i,29.036-3.3654e-14i,39.959+1.4311e-14i,45.838+3.1225e-14i,31.334-4.3021e-14i,39.921+9.2374e-15i,45.73+4.9266e-14i,48.423-5.9674e-14i,0.52224,0.11836,4.3865
-1.9594+2.8989i,-2.1092-1.1242i,3.9596-1.5632i,0.011738+0.31151i,1.4464-3.2533i,1.8758+2.0194i,-1.5669+0.11096i,-0.087158-3.3394i,-0.79924+4.374i,0.65834,0.078167,3.8997
0.32567+1.3692i,-0.41509-1.1145i,3.0269-0.5463i,-0.094823+1.2028i,-0.96464-1.502i,-0.40303+1.9232i,0.13184+0.31719i,0.18069-1.1429i,0.42616+0.82205i,0.49447,0.065669,3.3593
-0.52105+0.59855i,0.4117+1.1093i,1.5141-1.7834i,-0.15446+0.16812i,-0.82293-0.44427i,-0.94964+1.5323i,0.17563-0.089037i,-0.036196-0.58532i,-1.0133+1.0374i,0.39431,0.074601,3.3634
0.11709+0.24697i,-0.90966+0.53696i,-0.51306-2.5384i,0.28677+0.028261i,-0.76737-0.23561i,-0.91853+0.5203i,0.088879+0.32588i,0.1284-0.12376i,-0.08326+1.1456i,0.34512,0.061447,2.9744
0.12937-0.14771i,-0.19921-0.77401i,-1.2374-2.168i,-0.41297-0.051851i,-0.8031-0.44375i,0.24623+1.0211i,0.08688+0.39695i,0.056994-0.15599i,-0.29618+0.53806i,0.35713,0.07059,3.0112
0.14461-0.11152i,0.33645+0.14113i,-1.9462-1.3608i,-0.033438-0.32038i,-0.21551-0.31298i,0.51568+0.51635i,-0.34681-0.37611i,-0.034819-0.17101i,-0.16213+0.65968i,0.29676,0.078415,1.9577
0.32969+0.067191i,0.05506+0.27714i,-1.6647-0.63788i,-0.0074129-0.056572i,-0.23296-0.27647i,0.23355+0.94742i,0.12443+0.2306i,0.019221+0.050733i,-0.86631+0.61283i,0.37744,0.066977,2.2191
-0.035988+0.47755i,-0.069266-0.19985i,-1.0661+0.26961i,0.14036-0.16912i,-0.55922-0.16479i,0.35017+0.51313i,0.54037-0.29307i,0.26231-0.86457i,-0.081188-0.36563i,0.51352,0.075024,3.2928
-0.2333+0.18802i,0.0012536-0.20123i,-0.34059+0.29068i,-0.030385+0.0056442i,-0.36044+0.14567i,0.045603+0.37914i,-0.39969-0.15632i,-0.60299-1.2071i,0.39892+0.19457i,0.34319,0.065626,3.1635
