31.528,52.326,35.251,39.466,58.264,43.576,19.803,9.3272,37.517,0.47988,0.065003,5.6799
2.6035,3.7296,2.7695,6.0166,6.8751,4.6469,1.9299,1.9507,2.1257,0.49019,0.047053,3.1683
1.8276,2.7231,1.3541,3.0747,3.9609,3.137,0.41759,0.68233,0.64949,0.53384,0.066251,3.6418
1.8804,1.097,1.0314,3.5966,3.2267,2.6213,0.87955,0.70266,0.59736,0.36112,0.056153,3.4285
1.2255,1.397,0.84213,3.8422,2.6163,2.8184,1.0752,0.4773,0.69329,0.3353,0.041489,2.824
0.73136,0.72645,0.74264,1.8276,2.0687,2.547,0.28032,0.41405,0.53378,0.32013,0.050839,2.5428
0.88146,0.79518,0.60049,1.8433,1.7159,2.4249,0.2191,0.2115,0.50939,0.34114,0.045913,2.6693
0.43034,0.51155,0.59286,1.0732,0.96992,1.8459,0.065084,0.058782,0.35017,0.30305,0.034675,2.6135
0.45573,0.46876,0.55197,0.82278,0.9768,1.1085,0.070245,0.068022,0.097214,0.47472,0.060626,2.8246
0.43876,0.36629,0.41642,1.049,0.64802,1.2799,0.075726,0.036177,0.12245,0.2971,0.038638,3.5159
0.43495,0.34749,0.42402,1.1433,0.58565,1.5362,0.091067,0.036806,0.20136,0.26651,0.042629,2.9597
0.37445,0.27171,0.49504,1.2059,0.72813,1.1313,0.11491,0.032735,0.11162,0.29609,0.052444,3.7875
0.3432,0.27717,0.54827,1.5082,0.58615,1.1545,0.20312,0.029625,0.11987,0.28947,0.046152,3.6316
0.3279,0.24658,0.33634,1.3734,0.74848,1.0167,0.16759,0.041002,0.080085,0.23765,0.043414,3.4134
0.40205,0.22715,0.3954,1.1905,0.61468,1.1785,0.097514,0.027267,0.11883,0.30047,0.052114,3.6509
0.26474,0.23932,0.44168,0.72292,0.63218,1.0059,0.039451,0.02389,0.058016,0.32088,0.044393,2.9621
0.19482,0.16925,0.30651,0.4986,0.46224,0.84442,0.019242,0.015162,0.049374,0.27585,0.038642,3.0492
0.14806,0.19888,0.27372,0.3898,0.59913,0.69336,0.011307,0.025802,0.032976,0.30362,0.049345,2.8707
